Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PG,Stephen Curry,10900,GS@Pho 09:30PM ET,53.75,GS
SF,LeBron James,9900,Cle@Cha 07:00PM ET,48.3,Cle
SF,Kevin Durant,9600,Det@OKC 08:00PM ET,46.9,OKC
SG,Eric Bledsoe,8400,GS@Pho 09:30PM ET,40.875,Pho
PF,Kevin Love,8300,Cle@Cha 07:00PM ET,41.45,Cle
PG,Brandon Knight,8200,GS@Pho 09:30PM ET,40.25,Pho
PG,Kemba Walker,7500,Cle@Cha 07:00PM ET,35.15,Cha
PF,Draymond Green,7500,GS@Pho 09:30PM ET,37.297,GS
SF,Nicolas Batum,7300,Cle@Cha 07:00PM ET,34.617,Cha
PG,Reggie Jackson,7200,Det@OKC 08:00PM ET,34.75,Det
PG,Kyrie Irving,6700,Cle@Cha 07:00PM ET,0,Cle
C,Al Jefferson,6400,Cle@Cha 07:00PM ET,29.917,Cha
PF,Serge Ibaka,6400,Det@OKC 08:00PM ET,29.25,OKC
SG,Klay Thompson,6400,GS@Pho 09:30PM ET,27.767,GS
SF,Marcus Morris,6000,Det@OKC 08:00PM ET,28.25,Det
PF,Tristan Thompson,6000,Cle@Cha 07:00PM ET,24.2,Cle
PG,Mo Williams,5900,Cle@Cha 07:00PM ET,28.646,Cle
SF,Harrison Barnes,5700,GS@Pho 09:30PM ET,25.25,GS
PF,Marvin Williams,5600,Cle@Cha 07:00PM ET,26,Cha
PF,Markieff Morris,5500,GS@Pho 09:30PM ET,25.115,Pho
SF,Andre Iguodala,5300,GS@Pho 09:30PM ET,24.531,GS
SG,J.R. Smith,5300,Cle@Cha 07:00PM ET,21.042,Cle
C,Enes Kanter,5200,Det@OKC 08:00PM ET,24.563,OKC
PG,Matthew Dellavedova,4900,Cle@Cha 07:00PM ET,21.036,Cle
SG,Kentavious Caldwell-Pope,4800,Det@OKC 08:00PM ET,22.3,Det
C,Tyson Chandler,4700,GS@Pho 09:30PM ET,20.321,Pho
C,Andrew Bogut,4700,GS@Pho 09:30PM ET,23.425,GS
SG,Jeremy Lamb,4600,Cle@Cha 07:00PM ET,23.429,Cha
PG,Jeremy Lin,4500,Cle@Cha 07:00PM ET,21.1,Cha
SG,Dion Waiters,4400,Det@OKC 08:00PM ET,21.172,OKC
PF,Ersan Ilyasova,4300,Det@OKC 08:00PM ET,18.183,Det
C,Festus Ezeli,4300,GS@Pho 09:30PM ET,20.859,GS
PG,Brandon Jennings,4200,Det@OKC 08:00PM ET,0,Det
C,Timofey Mozgov,4000,Cle@Cha 07:00PM ET,16.521,Cle
SF,P.J. Tucker,3900,GS@Pho 09:30PM ET,16.483,Pho
SF,T.J. Warren,3800,GS@Pho 09:30PM ET,17.232,Pho
PF,Cody Zeller,3700,Cle@Cha 07:00PM ET,17.308,Cha
C,Steven Adams,3700,Det@OKC 08:00PM ET,17.625,OKC
SF,Stanley Johnson,3700,Det@OKC 08:00PM ET,15.55,Det
SG,Iman Shumpert,3600,Cle@Cha 07:00PM ET,0,Cle
SF,Mirza Teletovic,3300,GS@Pho 09:30PM ET,12.833,Pho
C,Anderson Varejao,3200,Cle@Cha 07:00PM ET,6.942,Cle
PF,Jon Leuer,3200,GS@Pho 09:30PM ET,16.283,Pho
C,Frank Kaminsky,3200,Cle@Cha 07:00PM ET,10.214,Cha
SF,Richard Jefferson,3100,Cle@Cha 07:00PM ET,11.983,Cle
PG,D.J. Augustin,3100,Det@OKC 08:00PM ET,12.609,OKC
C,Nick Collison,3000,Det@OKC 08:00PM ET,10.654,OKC
PG,Steve Blake,3000,Det@OKC 08:00PM ET,9.932,Det
SG,James Jones,3000,Cle@Cha 07:00PM ET,6.15,Cle
PG,Ronnie Price,3000,GS@Pho 09:30PM ET,9.231,Pho
SF,Steve Novak,3000,Det@OKC 08:00PM ET,4.75,OKC
PG,Leandro Barbosa,3000,GS@Pho 09:30PM ET,13.058,GS
PF,Anthony Tolliver,3000,Det@OKC 08:00PM ET,11.054,Det
PG,Shaun Livingston,3000,GS@Pho 09:30PM ET,11.464,GS
C,Sasha Kaun,3000,Cle@Cha 07:00PM ET,1.875,Cle
PG,Brian Roberts,3000,Cle@Cha 07:00PM ET,3.714,Cha
SG,Anthony Morrow,3000,Det@OKC 08:00PM ET,9.6,OKC
PF,Joel Anthony,3000,Det@OKC 08:00PM ET,6,Det
PF,Jason Thompson,3000,GS@Pho 09:30PM ET,6.643,GS
PF,Tyler Hansbrough,3000,Cle@Cha 07:00PM ET,4.875,Cha
C,Aron Baynes,3000,Det@OKC 08:00PM ET,10.733,Det
SG,Brandon Rush,3000,GS@Pho 09:30PM ET,6.875,GS
C,Spencer Hawes,3000,Cle@Cha 07:00PM ET,13.393,Cha
SG,Jodie Meeks,3000,Det@OKC 08:00PM ET,2,Det
C,Marreese Speights,3000,GS@Pho 09:30PM ET,10.75,GS
SG,Sonny Weems,3000,GS@Pho 09:30PM ET,4.556,Pho
SF,Kyle Singler,3000,Det@OKC 08:00PM ET,5.893,OKC
SG,Ian Clark,3000,GS@Pho 09:30PM ET,6.271,GS
PF,Cory Jefferson,3000,GS@Pho 09:30PM ET,4.5,Pho
SG,Jared Cunningham,3000,Cle@Cha 07:00PM ET,8.019,Cle
PG,Troy Daniels,3000,Cle@Cha 07:00PM ET,2.55,Cha
SG,Andre Roberson,3000,Det@OKC 08:00PM ET,12.55,OKC
SG,Joe Harris,3000,Cle@Cha 07:00PM ET,1.95,Cle
SF,Reggie Bullock,3000,Det@OKC 08:00PM ET,1.6,Det
SG,Darrun Hilliard,3000,Det@OKC 08:00PM ET,5.75,Det
PG,Spencer Dinwiddie,3000,Det@OKC 08:00PM ET,11.333,Det
SF,Michael Kidd-Gilchrist,3000,Cle@Cha 07:00PM ET,0,Cha
SF,P.J. Hairston,3000,Cle@Cha 07:00PM ET,10.125,Cha
PF,James Michael McAdoo,3000,GS@Pho 09:30PM ET,4.542,GS
C,Alex Len,3000,GS@Pho 09:30PM ET,13.283,Pho
PF,Mitch McGary,3000,Det@OKC 08:00PM ET,3.792,OKC
SG,Archie Goodwin,3000,GS@Pho 09:30PM ET,7.75,Pho
PG,Aaron Harrison,3000,Cle@Cha 07:00PM ET,1.25,Cha
PG,Cameron Payne,3000,Det@OKC 08:00PM ET,2.781,OKC
SG,Devin Booker,3000,GS@Pho 09:30PM ET,8.583,Pho
PF,Kevon Looney,3000,GS@Pho 09:30PM ET,0,GS